binary,multiclass,spanish_translation
Not Hope,Sarcasm,¿Qué tal hacer que los asesores rindan cuentas? ¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡!¡¡¡¡¡¡¡¡¡¡¡¡¡!¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡!¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!¡¡¡¡¡¡¡¡¡¡¡¡!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
Hope,Sarcasm,"¿Todavía no lo entiendes, Smiley... EmoticonXBanghead si los pastelitos fueran humanos?"
Not Hope,Sarcasm,"Bueno, eso podría pasar si somhow que mutó en alguna .. no sé ... 600 persona armada. ?"
Not Hope,Sarcasm,Ahora digamos que sólo el 1% de todos los dueños de armas se resistieron (en el nosotros que es varios cientos de miles salpicados a través de la tierra). Con la atención de los medios de comunicación a tales luchas internas entre el gobierno y los ciudadanos ¿cómo lidiar con esto?
Not Hope,Sarcasm,"Pero, ¿no lo sabías? Los EE.UU. son una nación cristiana y todas las demás creencias son sumisos a eso. Ellos no lo entienden, ellos realmente creen que están haciendo el bien y también lo están haciendo por nuestro propio bien. No son los terroristas, o cualquier otra fuerza exterior que son una amenaza a los derechos y libertades estadounidenses, son aquellos como el derecho cristiano a los que realmente tienen que temer. Aquellos como Pat Robertson, o Jerry Falwel que tienen influencia y muchos otros como su presidente. ¿Cuántos otros jueces sienten y creen lo mismo que el juez Moore en Alabama?"
Not Hope,Sarcasm,"\""--Heinrich HimmlerPor prometer su apoyo a los ideales nazis, con orgullo otorgamos \""Sí\"" la Medalla del Holocausto y el Genocidio. ¡Felicidades que ahora eres un partidario de Hitler."" y ganas el premio PINK PANTIES!Tengo noticias para ti PUNK - mi familia huyó de los nazis a pie en la Segunda Guerra Mundial"
Not Hope,Sarcasm,"Por favor, llama al FBI inmediatamente y diles lo que has descubierto, porque no pueden probar que osama bin laden tenía una conexión con el 11 de septiembre de 2001. Eso es correcto. alfombra bombardeamos afganistán y derrocó el gobierno que establecimos allí sin tener ninguna evidencia conectando osama bin laden con el 11 de septiembre. y, a la derecha, entonces invadimos Irak diciendo que también estaban muy conectados. y estabas tan seguro de que Ud. nos atacó? wow, usted debe ser más inteligente que toda la agencia de inteligencia americana. perdón por mi respuesta sarcástica, pero la mentalidad que usted está tratando de empujar hacia adelante es excepto todo lo que el gobierno nos dice y nunca cuestionar sus motivos o acciones. por favor investigar un poco antes de publicar algo como esto."
Not Hope,Sarcasm,"Odio decírtelo, pero definitivamente NO es blanco. Es asiático/africano-americano. Su madre es de ascendencia asiática y su padre de ascendencia africana. ¿De dónde sacas ""blanco""? Ahora un mejor ejemplo de lo que estabas tratando de ilustrar habría sido Barrack Obama, que es exactamente 50/50. Su madre es blanca, de Kansas; y su padre negro, de África (Kenya para ser exactos). Ahora es una verdadera definición de afroamericano. (No importa lo que Alan Keyes pueda decir.)"
Not Hope,Sarcasm,@Ciara87C @RachaelSmarty @SashaHumphreys2 mis convos tinder han sido filtrados
Not Hope,Sarcasm,"En realidad, desde donde se sienta este no creyente, Arch está simplemente repitiendo lo que la Biblia cristiana dice acerca de quién entrará en el cielo y quién no. Hay una diferencia... Pero, usted tendría que saber realmente lo que la Biblia dice para entender que... Lo que a menudo es algo que la mayoría de los no creyentes no leen... De couruse, ni tampoco la mayoría de los creyentes autoprofesantes. IMO, ofenderse por lo que dice la Biblia (y muchas personas repiten) es similar a ofenderse en un libro de cocina que pide sal en una receta que nunca comerás. Ahora, si el cocinero trata de forzarte a comer dicha receta... entonces puedes tomar toda la ofensa que quieras."
Not Hope,Sarcasm,Eso es porque los talibanes en Afganistán no tenían petróleo con el que sobornarlos.
Not Hope,Sarcasm,"¡Oh sí, por supuesto que lo harás, y mientras tanto serás un dictador genocida y la gente todavía amará a tu maldito país en lugar de querer cambiarlo de nuevo! ¡Lol muy divertido!"
Not Hope,Sarcasm,"NO lo es. La evolución ocurre y ha sido observada. Aparentemente te perdiste la biología de la escuela secundaria o la tomaste en Texas (en nuestra clase dijo que había 2 versiones del mismo video, una para Texas donde ni siquiera mencionaba la palabra evolución)."
Not Hope,Sarcasm,"Por lo tanto, Clinton conseguir en él con Lewinsky es una señal de inteligencia? Usted puede trabajar para la administración de Obama con ese tipo de inteligentes. LOL!!"
Not Hope,Sarcasm,The App Store [es]... un milagro económico pero la magia de Apple no funciona hoy en día en #AntiTrustHearings #Apple ahoga la innovación que es el alma de nuestra economía. -Lucy McBath hablando algo de verdad hoy en día #HouseJudicary https://t.co/2swhC9daBM
Not Hope,Sarcasm,"Alguien necesita revisar su Diccionario de Oro. ""Random"" y ""selectivo"" son antónimos. Decir que la selección es aleatoria es admitir la ignorancia del idioma inglés."
Hope,Sarcasm,"No es mi culpa si usted no puede entender lo que estoy diciendo .... orar por la comprensión, no puedo dar o hacer que entienda lo que es incomprensible para usted, pero Dios puede ayudarle, orar. Meditar en él, considerarlo, reflexionar y orar por la guía de Dios."
Not Hope,Sarcasm,"¿Sabes lo que es un concepto novedoso? violadores y agresores sexuales no sólo arruinar las vidas de sus víctimas, sino también sus propias vidas. sí. no las víctimas testificando. tal vez si usted no quería acusaciones de violación entonces DON T RAPE. también un concepto novedoso."
Hope,Sarcasm,Y mi hermana de 8 años piensa que hay hadas en el fondo del jardín.
Not Hope,Sarcasm,"Usa un poco de sentido común, ¿quieres? Y mientras estás en ello, tratando de leer! Dije, y me citaste diciendo:"
Not Hope,Sarcasm,"Tu biblia te ha hecho un gran flaco favor, te ha convertido el cerebro en caca, deberías crecer y dejar de lado tu estúpido libro de cuentos de hadas."
Not Hope,Sarcasm,"Creo que lo entiendo, el objetivo es claro, mira, el autocontrol es bueno, mira, pero no veo qué tiene que ver esto con la OP. ¿Podrías explicar, por favor? ¿A quién recomiendas que use autocontrol? ¿A los manifestantes? ¿O estás diciendo que el autocontrol es tu recomendación para el control de la natalidad?"
Not Hope,Sarcasm,"No, para nada. Lea el post de arriba. 'Claquería de Navidad'?? ¿Qué es eso? Aquí, tenemos galletas Fortune.:)"
Not Hope,Sarcasm,"¿A los Estados Unidos no les importan los derechos de la gente? ¿A los Estados Unidos sólo les importa la opinión de la mayoría? Hrm, eso es gracioso. No recuerdo haber aprendido esa parte en todas mis clases de historia de los Estados Unidos. ¿Cuándo dijeron eso los padres fundadores? ¿En qué parte de la Constitución, la Declaración de Independencia o la Declaración de Derechos podría encontrar tal idea?"
Not Hope,Sarcasm,"¡Dios mío, ¿cómo puedes decir tal cosa?! ¡Tendré que prohibirte incluso por mencionar el concepto de ello! ¡Mi querido viejo amigo!"
Not Hope,Sarcasm,Me encanta cómo difuminan la cara de Tristan en esta temporada de los kardashians LMAO como hmmmm me pregunto quién es ese hombre misterioso
Not Hope,Sarcasm,¡Esas malditas personas negras! ¡Todos quieren respeto e igualdad de oportunidades! ¡Deberían estar contentos con lo que tienen! ¿Por qué deberían trabajar por la misma paga? ¡Son egoístas! [/end sarcasmo] Este argumento está cansado *yawn*
Not Hope,Sarcasm,"Haz, realmente no veo que sea un problema, ¿verdad? No nos dejes en paz con la ortografía y otros tecnicismos de foo foo como este. ¿Entendido?"
Hope,Sarcasm,"Si eso es ser ""salvado"", prefiero ir con el Titanic."
Not Hope,Sarcasm,"Así fue dominando y esclavizando a las mujeres. no significa que debamos hacerlo sólo porque tiene historicidad. en realidad he escuchado esta idea por numerosas personas, en ambos lados de la cuestión. Puedo ver los méritos yo mismo - dar beneficios a las parejas de una manera que no utiliza una institución cultural y religiosa que no tiene nada que ver con la legalidad para empezar. de esa manera al menos el matrimonio cultural no tiene que ser redefinido en ninguna medida y los beneficios legales ya no serían ningún tipo de reflejo de las opiniones culturales e ideológicas de un grupo. por cierto, ¿qué quieres decir con 'anti-gay' en tu frase 'gente anti-gay'? que siempre es importante clavar."
Not Hope,Sarcasm,"Sólo trato de traer algo de coherencia al debate. Le encanta cuando los demócratas se pavonean, pero no cuando los republicanos lo hacen. ¿Por qué no me sorprende? ;)"
Not Hope,Sarcasm,** Así que no me gustan tus mentiras y distorsiones deliberadas. ¿Tengo que admirar tu mendacidad? vivir con el hecho de que mi opinión de tu integridad personal es tan baja que preferiría ignorarte completamente de ahora en adelante.
Not Hope,Sarcasm,"Tal vez usted no es consciente, pero algo que no ha sucedido pero tiene una posibilidad o probabilidad de suceder es potencial, por lo que la palabra es precisa para describirlo. Y como estoy seguro de que Steeeeve (el adorador del diccionario) va a intervenir, aquí está la definición:"
Hope,Sarcasm,"Tener la dieta más equilibrada, un equilibrio saludable de codeína, panadol e ibuprofeno...."
Hope,Sarcasm,"El hecho de que usted piensa que el plan 9-9-9 es bueno sólo prueba que usted es tan estúpido como Herman Cain es. Tal vez usted y Grover Norquist puede conseguir con Herman Cain y comenzar la construcción en el mundo de los sueños utópicos, y no se olvide de pasar por y recoger su otro tonto Ron Paul en su camino."
Not Hope,Sarcasm,Echo de menos subir 3 tramos de escaleras para la clase y tener que recuperar el aliento en el baño
Hope,Sarcasm,"Buena suerte en tu recuperación, químico."
Not Hope,Sarcasm,"tu reputación la savoir faire con notas sucias te precede, querida. no hay necesidad de que el pequeño niño de mamá se mueva por sus pantalones y se exponga un poco más. significa, también, tu ignorancia, no la mía, ya que la conexión entre la guerra de Vietnam, la producción de caucho y fabricantes de neumáticos americanos está documentada y conocida. ve a visitar su fuente local c.i.a. para obtener más información, dw, para empezar. asegúrese de llevar a su profesor payaso nariz con usted."
Not Hope,Sarcasm,"¿Así que ves a un policía en las calles, ves que está armado, eso es suficiente para inducir agresión y violencia, posiblemente hacer que lastimes a otros, simplemente porque viste que alguien más estaba armado?"
Hope,Sarcasm,"Simone bebé Voy a ver su Sanford y criar un Mark Spitzer, John Edwards, Jim McGreevey y por supuesto el rey de sleeze der slickmeister Willie."
Hope,Sarcasm,Increíble lo rápido que este equipo puede ir ganando de 13 derecho a perder tres seguidos. Lol. Horrible gestión esta noche. Realmente espero que este experimento Boone se acabe pronto.
Not Hope,Sarcasm,"¿Quién dice que hay una vida después de la muerte? Espera, gente de hace dos mil años antes de la ciencia."
Not Hope,Sarcasm,"Exactamente, para todos los demás, ""wascallywabit"" tiene mucho más sentido que ""pandion"" que en realidad no responde a ningún problema, es demasiado ocupado admirando lo ""grande que es en biología"". Y si te preguntas por qué me he mantenido callado es porque como ""wascallywabit"" dijo, no me puede molestar la gente arrogante que no escucha la razón."
Not Hope,Sarcasm,"Fue el impulso de Alemania por el nacionalismo lo que llevó a la derrota de Brian, wwll. ¿Quieres repensar tu posición? flash de noticias, Brittan ganó ww2, Germany perdió. Estoy realmente asombrado de que no lo sabías."
Hope,Sarcasm,"Pensé que estarías feliz, quiero decir, demonios, significa que estamos en la iglesia, ¿no?"
Not Hope,Sarcasm,"Wow, un hilo que me trata como un XXXXX lanzando propaganda absurda hacia mí, eso es convincente y gana mis simpatías."
Not Hope,Sarcasm,"Creo que no me entiendes, el color de la piel es genético, estás diciendo que el color de la piel representa genes, estamos discutiendo por lo mismo, lo sé, estoy sorprendido."
Hope,Sarcasm,"""Hopium"" es la adicción eterna de agarrar armas contra los constitucionalistas para esperar que puedan cambiar la Constitución para que todas sus leyes e ideas sean adoptadas. Nota I marcó sus errores de ortografía. ¿Alguna excusa que no sea la falta de una educación?"
Not Hope,Sarcasm,Y aquí el assi una vez más se niega a responder a un puesto válido ya que personalmente insulta a un miembro que muestra más inteligencia y sabiduría que lo que lo hace en cada post COBHC escribe. Y esto viene de un tipo que apenas está fuera de su propia adolescencia. Hipócrita mucho asipiter? emoticonXRolleyes
Not Hope,Sarcasm,"Creo que estás muy equivocado. No soy republicano. Ni demócrata. Nunca se ha registrado como otra cosa que 'independiente'. Soy tal porque creo. A diferencia de un loro de partido que pareces ser tú mismo. Ya que yo no soy... ¿quién diablos puede ser ""yo"" en minoría? Debe ser tu reacción biggoted de rodillas para pensar que cualquiera que no piense como tú y slurp the Flavor Aid es la oposición y como tal debe estar en el 'partido enemigo'. Y tú eres un odiador porque tu verborrea está llena de odio, cáustica y siempre insultante. Y no de una manera divertida, burlona pero llena de vitriol y bilis."
Not Hope,Sarcasm,"¿Y Hannity y Colmes? Sí, también podrías citar a Limbaugh o Coulter o O'Reilly. Todos son igualmente ""justos y equilibrados"". Y el jardín de infantes ""sexo-ed"" era la edad apropiada. Enhorabuena, has comprado una mentira."
Not Hope,Sarcasm,"En realidad, no es 'diferente' en absoluto en que no hay nada en el artículo gay que se muestra mal o incorrecto. tanto para su 'obfuscación'... y previsiblemente, absolutamente ningún enlace de usted... ¿qué tienes que ocultar? considerando el típico fraude desenfrenado cometido cuando los cristianos intentan muchas de estas 'peticiones' contra las uniones civiles, no me sorprende que haya algunos reconocidos como inválidos. aquí hay un vídeo sobre las técnicas que se utilizaron en masachusetts. http://www.youtube.com/watch?v=smgua...eature=related"
Not Hope,Sarcasm,"Bien, estábamos cansados de que no respondieras o dijeras, ""no vale mi tiempo""."
Hope,Sarcasm,"Tal vez debería haber usado la fuente de ""sarcasmo"". Mi error. Iba para el humor no desagradable. Tener un día de durazno.:)"
Not Hope,Sarcasm,Todos ustedes están locos por ser malos con Trump tanto para la izquierda tolerante de todos modos George Floyd tenía que venir
Not Hope,Sarcasm,Por favor... dile eso a una familia de cuatro que no puede pagar cuentas médicas...
Not Hope,Sarcasm,"Me alegra saber que traes ortografía a esto, muestra dónde estás en la discusión, y de dónde vino la pregunta de salvar vidas?"
Hope,Sarcasm,"Me encanta salir de la oficina de médicos llorando, necesito que este chico decida dejar mi cuerpo para que podamos terminar y volver a casa juntos."
Not Hope,Sarcasm,No en tu mente aburrida no tiene mucho claro rey tridente... ¿Por qué no vas a cazar un poco de atún o algo...?
Not Hope,Sarcasm,"Por supuesto que Dios tendría algo que ofrecer a peón humilde, pero eso no explica qué uso tiene Dios para peones humildes, excepto por hacer trucos estúpidos de mascotas."
Not Hope,Sarcasm,Ven a Inglaterra y te encontraré azúcar plumemoticonXBye Usted vinculó todos esos otros abominaciones (aunque eso es rico viniendo de una desviación sexual) junto con la homosexualidad usted viejo sucio. Estábamos hablando de homosexualidad en ANIMALS pothead pero usted sigue insistiendo en su sobre HUMANS (leer las tapas) y luego cambiando el tema a usted y la señora Poeta....intenta mantener el ritmo ! Usted pica .. sin duda sobre itemoticonXChicken
Not Hope,Sarcasm,¿La prohibición dejó de beber? ¿La guerra contra las drogas dejó de fumar? ¿Qué te hace pensar que es diferente con las armas?
Not Hope,Sarcasm,@MailOnline Otro rapero misógino y homofóbico... ¡qué impactante!
Not Hope,Sarcasm,"No sólo lanzaría el interruptor, sino que también pagaría la factura eléctrica."
Not Hope,Sarcasm,Creo que también se puede enseñar el control de armas en una escuela libre de armas. La educación sexual también se enseña en escuelas que prohíben a sus alumnos a la pareja en el patio de la escuela :p .
Not Hope,Sarcasm,que necesita una alarma cuando usted puede tener la voz baja de un extraño para despertarte en la mañana
Hope,Sarcasm,"Espero que vaya un poco mejor con esta marioneta, su propio guardaespaldas fue el último en un montón de intentos de asesinato."
Not Hope,Sarcasm,¿Está justo al lado de ANWR? ¿Los canadienses están minimizando ANWR mientras taladran para extraer nuestros preciosos fluidos? emoticonXClown
Hope,Sarcasm,"Sí, lo superarán en un año o dos."
Not Hope,Sarcasm,"Sí, Ez es lo que volverá a perseguirte. ¿Sabes por qué puedo decir lo que quiera sobre Jesús con consecuencias? Es porque Jesús nunca existió. ¿Sórdido, cuándo vas a crecer?"
Not Hope,Sarcasm,"Ya que te gusta tanto reportar ataques personales al mod, tal vez alguien debería devolverte el favor? emoticonoXRolleyes"
Not Hope,Sarcasm,Ahora estoy leyendo 4 libros a la vez lo que podría salir mal
Hope,Sarcasm,¿De dónde sacó Jesús sus poderes mágicos? Si los ángeles pudieran hacer el drama de mamá antes de la inundación entonces Dios también puede.
Not Hope,Sarcasm,"Y, estoy seguro de que te haces esa misma pregunta antes de descomprimir tu mosca y sacarte el pene, ¿verdad?"
Hope,Sarcasm,"""Numerosos individuos"", suficiente evidencia para mí, supongo."
Hope,Sarcasm,Simone: Soy una víctima crónica: pensé en pedirle una receta a Easyrider.
Not Hope,Sarcasm,"Nunca he oído a un conservador que era pro gay y mucho menos pro matrimonio del mismo sexo. ¿Sabes de alguno? hay un término viejo que parece aplicarse 'si el zapato encaja'. por favor me gustaría saber quiénes son estos conservadores que quieren que la gente gay sea capaz de casarse legalmente. ¿quiénes son? ya que como usted dice que hablo en generalidades entonces usted no debe tener ningún problema en la lista de estos pro gay o por gay conservador matrimonio. sólo porque alguien cree que el gobierno no debe estar en la busisness matrimonial, como un libertario, no significa que apoyan el matrimonio gay."
Hope,Sarcasm,No puedo esperar a nombrar a mis hijos después de cosas que nunca tendré. Mi hija será Hope. Mi hijo será PS5 porque esa mierda es cara.
Not Hope,Sarcasm,"Traté de no parecer un turista cuando fui a Nyc en mayo pasado, pero supongo que lo regalé con todas las fotos que estaba tomando."
Not Hope,Sarcasm,"Eso es un hecho interesante, ¿cómo es que nunca he oído tal cosa..tal vez un enlace está en orden y no un frente de tormenta o el enlace similar por favor.... en realidad he escuchado a gangsta rap... Easy E, Snoop, NWA, y tantos otros, de hecho están en mi camión ahora mismo.. imagine una pelirroja ""blanco"" se divierte en escuchar todo tipo de música.. hmm También tengo Lady Smith Black Mambazo, Nat King Cole, y mientras estamos en ello tengo música que adoro de Irán, Irak, Arabia Saudita, Turquía y tantos no puedo enumerarlos todos... ¿cuál es su punto? Difícilmente llamaría rap a la decadencia de los 90, aparentemente mucha gente escucha si están haciendo dinero.... Me pregunto si usted tiene un pariente loco en algún lugar de su pasado?"
Not Hope,Sarcasm,"¿Crees que el metro es ala izquierda? ¿Qué demonios has estado fumando, ethmi? metro es un trapo sucio del mismo horrible establo que el correo diario."
Not Hope,Sarcasm,¡Buena lección! Siempre toma la salida fácil para tratar de evitar las consecuencias de las acciones. En lugar de dejar una nota en un coche diciendo que accidentalmente te golpeas... deberías conducir casualmente lejos. ¡Gracias Simone!
Not Hope,Sarcasm,"En realidad, sólo tiene sentido para usted. Si usted mira a la naturaleza por un poco de tiempo, usted se dará cuenta de una gran cantidad de muerte. Pero es en su mayoría muy económico ya que los carroñeros se aseguran de que hay residuos mínimos."
Not Hope,Sarcasm,No tendríamos leyes (y muchas importantes) si no puedes hacer un proyecto de ley que no te afecte. ¡Lo sentimos por la legislación de derechos civiles!
Not Hope,Sarcasm,Parece que los nazis de seguridad creen que las zonas libres de armas deberían ser administradas como prisiones. Tal vez los nazis de seguridad deberían hacer un viaje de campo a su sistema carcelario de los estados y preguntar a los guardias si las armas o cualquier otra arma alguna vez llegan a las prisiones. Las prisiones se consideran zonas libres de armas y drogas.
Not Hope,Sarcasm,"¡Silencio, Poseidón! Sé un buen Dios inexistente y aléjate de la zarza ardiente que lo apagarás y entonces estarás realmente en problemas."
Not Hope,Sarcasm,"¿Qué motivó esto? Supongo que tengo que comprobar en qué sitio web estoy... Tu respuesta, Orión, (como trs) es la de un sin agallas, sin espinas, sin dip-wad. Uno que tintineo en sus cajones si usted hizo tal reclamo mientras que frente a mí. Pero, he tratado con su lamentable, basura tipo antes y he encontrado que no importa lo que se dice, usted actuará como si fueras diez pies de alto y a prueba de balas. Pero, continúa, Orión. Has demostrado sus verdaderos colores ahora. Cluck a voluntad... emoticonXChicken emoticonXRolleyes"
Not Hope,Sarcasm,"cita de Johnhanks: 'cita: originalmente publicado por inri ... el sexo es nada más que animalista hasta que se practica de acuerdo con la eucaristía ... estoy fascinado. ¿cómo se hace esto, exactamente? (y sólo para el registro - usted está diciendo realmente hacer el sexo menos animalista es una buena cosa?)' Yo ni siquiera preguntaría!!"
Not Hope,Sarcasm,"Lo has dicho también en otros foros: no tienes $10,000, sólo estás haciendo el ridículo."
Hope,Sarcasm,¿Quién es este dios del que hablas? ¿Puedo llamarlo? Tengo algunas cosas que me gustaría hacer y él sólo puede decirlas mientras que en el teléfono que estoy esperando.
Hope,Sarcasm,@ThePartridgePod Defrost el congelador con el elenco de Hollyoaks. Cualquiera de ellos que quisiera un viaje divertido extra podría ir al centro de reciclaje con algunos tarros pesto vacíos. Magia.
Not Hope,Sarcasm,"Bueno, considerando lo ambiguas y contradictorias que son las escrituras cristianas, supongo que esta interpetación tiene tanto sentido como cualquiera de los demás."
Not Hope,Sarcasm,Fue un intento de ironía que no es fácil de entender para los norteamericanos.
Not Hope,Sarcasm,"Esto se llama lógica extremista. En primer lugar, las sams cuestan millones de dólares y las personas que pueden permitírselos probablemente no pueden permitirse tantos, en segundo lugar, estas d00ds ricas probablemente como su libertad y no estarían tan inclinadas a utilizarlos. En tercer lugar, ¿cuántas personas saben que pueden permitirse un programa de armas nucleares de mil millones de dólares y construir, poseer y mantener un arma nuclear? Esto es absurdo racionar desde la tierra de hacer creer. pero responder a su pregunta si el gobierno puede poseerlo así debe el pueblo."
Hope,Sarcasm,Voy a extrañar a scantrons acortar mi nombre a Cristo después de 16 años
Not Hope,Sarcasm,"Realmente odias la verdad, ¿no es así! Y eres un maestro? Qué pensamiento aterrador que se basa en tu retorcida visión del mundo. emoticonXDonno Tengo mi propio video para que lo veas, uno que no te dice mentiras señalando un par de ejemplos de por qué 10.000 correos electrónicos no exponen el fraude que ha sido perpetrado sobre la humanidad durante una generación ahora. YouTube - John Coleman - Global Warming Scam Aquí hay otro video donde demanda a Al Gore: YouTube - Al Gore demandado por más de 30.000 científicos por fraude Calentamiento Global / John Coleman"
Not Hope,Sarcasm,Así admites que preferirías la ignorancia al conocimiento. ¡Qué triste!
Not Hope,Sarcasm,"Deben sufrir terriblemente en las profundas nieves del invierno canadiense, ¿eh? No es de extrañar que estén vertidos al sur sobre la frontera. pequeños emoticonxcensored ers."
Not Hope,Sarcasm,"Asumo que eres cristiano? sigues todo en la biblia? Supongo que es mejor conseguir la lapidación de sus vecinos que van entonces para trabajar el domingo y usar tela mezclada. oh sí me ofende que quieres matar a la gente gay ya que crees que no puedes ignorar algunas partes de la biblia. eres entonces comandado para matar a la gente gay, prostitutas, y niños de boca inteligente."
Not Hope,Sarcasm,"Estoy seguro de que usted quiso decir ""mediata"" en lugar de ""medicar"" ? O, es OSU una escuela de medicina ? O, ¿sabía usted que el hombre estaba fuera de sus medicamentos ? Exactamente lo que significa su desposesión aparte de que usted está tan frustrado si usted oye de un tiroteo en una República de más de 3 millones que te conduce batty ? ¿Cuántos niños ahogados en cubos de 5 galones entre sus dos postes ? ¿Cuántos en accidentes de coche ? ¿Cuántos de objetos contundentes o cuchillos ? En realidad, la muerte por armas está muy por debajo de la lista así que ¿por qué es ir plátanos cuando se oye de un tiroteo incluso si alguien es asesinado o no ? ¿Usted entiende que hay disparos justificables también ?"
Not Hope,Sarcasm,"Probablemente perdí el tiempo creando este debate. todos saben que los negros cometen más crimen que otras razas. ¿Quién en su sano juicio va a discutir con eso? oh, espera, Aveskde discutiría con un poste de cartel si fuera crucial para mantener su fantástica visión del mundo juntos, tal vez muerda. :) usted está proyectando. usted encontrará que pocas cosas me enfurece o emocionalmente me motiva."
Not Hope,Sarcasm,"Ese activista de los derechos civiles era una canción loca. ""Tú también robarías un televisor si significara intercambiar leche para que tu bebé pudiera comer"". Puhleeeeze...... emoticonoXRolleyes Dame un respiro."
Not Hope,Sarcasm,"Sandra Fluke puede que ni siquiera use anticonceptivos porque puede ser muy bien célibe, sólo Dios... y Urgencias que piensa que es Dios... lo saben."
Not Hope,Sarcasm,"Deja que la buena gente de Hutch me grite ""come mierda"" mientras corro."
Not Hope,Sarcasm,"No puedo creer que intentaras hacer una afirmación tan loca. Claramente, Dios estaba hablando de sexo homosexual, pero no me sorprende que omitieras las referencias bíblicas más inequívocas. emoticonXRolleyes"
Not Hope,Sarcasm,¿Quieres decir que no crees que tienes tu propia religión inventada?? ¡Qué interesante! ¿De verdad crees que estás engañando a Dios? ¿O a nosotros? ¿O incluso a ti mismo?
Not Hope,Sarcasm,"ni; era un deísta que sentía que la mayor parte de la cristianidad era ridícula. [fuente] claramente, el 'Cristiano verdadero' de Jefferson no es en absoluto un verdadero cristiano. de hecho, Jefferson sintió que las creencias que los evangélicos sostienen hoy en día eran absurdas e irracionales. en lugar de abordar mis puntos de la más mínima manera, su respuesta consiste enteramente en esto. (¿cree que estoy sorprendido?) y usted de alguna manera piensa que soy el que está siendo derrotado? pero entonces, con su 'comprensión' de la lógica, nadie se sorprende."
Not Hope,Sarcasm,"Me encanta cómo los flauts derechistas piensan que obama es un musulmán socialista cuando su propio nominado de Vp mentalmente defectuoso es un miembro practicante de la iglesia pentacostal, y un creacionista. al menos la cabeza de obama está atornillada correctamente."
Hope,Sarcasm,"@inkofrealidad @StrangerTings1 @nytimes Estás tan cerca de entender el sesgo de la línea base. ¡Puedes llegar allí, creo en ti!"
Not Hope,Sarcasm,Suena como un americano en un gran todoterreno mirando gasolina de $4/galón con una tarjeta de crédito al máximo escuchando la radio fundamentalista.
Not Hope,Sarcasm,"Me lastimé el pie como hace 3 días, no tengo ni idea de cómo, pero duele presionarlo."
Not Hope,Sarcasm,"Ooops, typo. Lo siento, mi mal. Me imagino que es igual de difícil pasar de contrabando un arma en los EE.UU. como el Reino Unido, sin embargo, aunque no dejes que eso te disuada en su búsqueda de pequeños agujeros en mi argumento. Si un typo que realmente no cambió el punto de la discusión era 'el abismo', estoy muy orgulloso de mí mismo."
Not Hope,Sarcasm,"No bebo y no tengo sobrepeso, pero apuesto a que tienes un mal hábito con comida chatarra y noticias de FOX/patato couch con un pack de seis a tu lado."
Not Hope,Sarcasm,La curva de la herradura fue cretada por el diluvio en la imagen de la herradura inmaculada. ¡ arrepiéntanse paganos!
Not Hope,Sarcasm,"Lo que sea. Primero dices que nadie te está llamando hipócrita, de lo que dices que la gente lo hace, pero es sólo una táctica de ataque. Si alguna vez llegas a un estado mental donde puedas entretener la posibilidad de que un critismo de ti pueda estar arraigado en la realidad, que volver a mi post donde digo ""Por eso..."" y darle una lectura de nuevo. Tal vez aprenderás algo. Hasta entonces..."
Not Hope,Sarcasm,El punto es que la gran mayoría de los bautistas son el <término que ha sido prohibido>
Not Hope,Sarcasm,"¿Y su solución a la crisis económica actual es? Espere, usted no tiene uno; es más fácil ser un guerrero del sillón y criticar en lugar de proponer.emoticonXAngry"
Not Hope,Sarcasm,"¿Por qué tienen que aceptar esto? ¿Por qué el gobierno no encuentra una solución que satisfaga a ambos partidos? Oh, bien, porque eso eliminaría este gran tema en el momento de las elecciones."
